juror_id,venireperson,caused,state,defense,juror_not_struck,ammend_5,judgement,inn,bias_no_fair,bias_for_state,bias_a_g_state,bias_for_def,bias_a_g_def,bias_a_g_police,bias_for_police,cant_follow_law,attn,bop_100_percent,phys,agmt,vict,eye_witness,pun,pun_min,pun_max,esl,covid,med,prior_conviction,no_show,work_exempt,child_exempt,age_exempt,jur_age,jur_race,jur_gend,zip_code,four,defendants_name,defendants_race,defendants_gender,cause_number_f_xx_xxxxx,voir_dire_date,charge,verdict,punishment_number_years,probation,notes,age_group,peremptory_strike,jur_caused,jur_struck,jur_exempt,jur_disqualified,jur_biased,jur_pun
1,2,0,0,1,Not a Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Hispanic,Female,75172,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",45 - 54,Defense,No,Yes,No,No,No,No
2,3,0,0,1,Not a Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,White,Male,75001,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",55 +,Defense,No,Yes,No,No,No,No
3,5,0,0,0,Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,White,Male,75081,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",18 - 30,No,No,No,No,No,No,No
4,6,0,0,0,Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Asian,Male,75202,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",18 - 30,No,No,No,No,No,No,No
5,7,1,0,0,Not a Juror,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Black,Male,75116,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",31 - 44,No,Yes,No,No,No,No,No
6,8,1,0,0,Not a Juror,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,White,Female,75051,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",18 - 30,No,Yes,No,No,No,No,No
7,9,0,1,0,Not a Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Black,Female,75146,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",45 - 54,State,No,Yes,No,No,No,No
8,10,0,1,0,Not a Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Asian,Male,75063,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",55 +,State,No,Yes,No,No,No,No
9,11,0,0,1,Not a Juror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Black,Female,75227,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",55 +,Defense,No,Yes,No,No,No,No
10,12,1,0,0,Not a Juror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,White,Female,75360,NA,def_18,Black,Male,F1876079,2021-07-01T00:00:00Z,Murder,Lesser,10,0,"Verdict: Manslaughter, the lesser included offense of murder",18 - 30,No,Yes,No,No,No,Yes,No
